kernel_size,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
103,0.30418518570001657,0.21272419308910998,0.2460136535858118,-0.6469273671155624,-0.6469403805433502,0.49541453080291387,-0.38974229354797674,157054.30422400672,0.6204859618118512,0.7877093130158176,0.7877139811487722,166278.65563932294,0.6569292836826065,0.3189705188207568,0.3189184642857741,0.5922164447933135,0.15227681657823808,15806.533868427812,0.6040174965962709,0.7771856255723409,0.7772301774727227,15396.22313008398,0.5883382295878321
105,0.31762078444839764,0.23205799271411395,0.244816254277503,-0.489581213564682,-0.48959298369974924,0.5231891348258154,-0.3851936062612886,142049.4587392105,0.5612052179412935,0.7491363146592839,0.7491407542004448,148180.76093720298,0.5854286033510577,0.29000264196138326,0.2899483732647511,0.5747967369939221,0.15709473565913679,16478.871468088397,0.6297096361377353,0.7935424601984038,0.7935879497487407,15620.896075394794,0.5969236912145972
107,0.29045529125797637,0.1916757876683674,0.24549230010870104,-0.6375008675637366,-0.637513806506715,0.5608556483140543,-0.5594810084311349,156155.374278497,0.616934493327132,0.7854517765764694,0.7854564313307829,162288.10129056082,0.6411635078543777,0.336565951583635,0.3365152419567591,0.5997212098054153,0.14171757085379752,15398.148017914387,0.5884117856209403,0.7670800386015402,0.7671240112026025,15254.906990246227,0.5829380943194706
109,0.30090944089242383,0.2076746525431055,0.24398267165988216,-0.5674112314188722,-0.5674236165387514,0.557183406899002,-0.5208037658748689,149471.48568824175,0.59052796431757,0.7684581734340328,0.7684627274806392,154982.0027451564,0.6122987683272679,0.32674945521599597,0.3266979952645487,0.5920623588797561,0.13795229075766471,15625.986586717185,0.5971182157024413,0.7727342464925708,0.7727785432191682,15362.112146896807,0.5870347413694373
111,0.33108049591181954,0.25107745150168187,0.2479842443386396,-0.3742127247113718,-0.3742235832461289,0.5343369635302244,-0.3404399698337682,131047.68773945421,0.5177397141198831,0.7195413220377848,0.7195455861927239,142283.27561360353,0.5621289754206725,0.3019098985194444,0.3018565399547818,0.5879981564623,0.17995679125619962,16202.506847662235,0.6191488726226541,0.786860135362476,0.7869052418508253,15526.302232247734,0.5933089622166584
113,0.2766742343204611,0.1692699516704808,0.24906658834181192,-0.7427515796489075,-0.7427653502451623,0.5945631500912275,-0.6270693864017166,166192.2937478552,0.6565880874221409,0.8103012325192039,0.8103060345366795,176969.60725546317,0.699166810562247,0.3543706808167325,0.3543213320955536,0.6083458387434748,0.11766482539317011,14984.904445618786,0.5726204457800751,0.7567168861470418,0.7567602646839313,15107.974656827733,0.5773233465867146
115,0.28023862166255015,0.17537660818981288,0.25005140889248356,-0.7287378355754301,-0.7287514954401191,0.5740569068751029,-0.606805448725686,164855.91494391978,0.651308357639491,0.80703677589035,0.8070415585619611,172576.82725671428,0.6818119323497789,0.34540762788938384,0.34535759407664135,0.6042725135003528,0.1312852719641583,15192.934793167607,0.5805699412727887,0.761951403485018,0.761995082088825,15162.964601906577,0.5794246857696731
117,0.3252823267433569,0.24307249081120796,0.24057874190390724,-0.48244352143331914,-0.48245523516891,0.509602416366181,-0.31475440640127084,141368.79407005548,0.5585160660966576,0.7473393246020562,0.7473437534938719,153739.0412836882,0.6073881092929624,0.2980751396706892,0.2980214879959716,0.585688406635843,0.18325601006101802,16291.510697415104,0.6225499903479347,0.7890183713627552,0.7890636015712457,15550.45882117843,0.5942320616446342
119,0.2873477067627828,0.18731369996079042,0.2543613429881165,-0.6750136289105773,-0.6750268642659054,0.5739103508490135,-0.5905058006476539,159732.66660509678,0.6310675645658961,0.7943976111280144,0.7944023188972466,169078.76247184677,0.6679918711725767,0.33711340068786155,0.33706273290529554,0.6036129254486163,0.15384848015773916,15385.441853135337,0.5879262430026113,0.7667634856998677,0.7668074401546432,15167.30069417558,0.5795903815268286
121,0.316912296123232,0.23103604002125414,0.2436349168901177,-0.527143893377797,-0.5271559603196518,0.513799446968048,-0.36446408585413476,145631.51139109474,0.5753570961463949,0.7585229700848847,0.7585274652533625,155930.4853644206,0.6160460081955657,0.31603146492868206,0.31597918574691397,0.5893281859175945,0.15044096706433127,15874.748617084146,0.6066241972212979,0.7788608330255784,0.778905480956655,15444.952517629275,0.590200333128101
123,0.2881090388945617,0.18834108086702178,0.25310849690689735,-0.5909306472553109,-0.5909432182171559,0.5979253085642126,-0.5782846096298869,151714.344458889,0.5993889910076013,0.7742021641713496,0.7742067522580669,165677.85418659236,0.6545556533061745,0.35400866423886157,0.35395928784692077,0.6125530567698624,0.13694479579245092,14993.306765132484,0.5729415249009318,0.756929009155371,0.7569723998521395,15063.801301089148,0.5756353433867992
125,0.2581808266846565,0.13612300607252004,0.26506480164183266,-0.915171847061925,-0.9151869800611274,0.600209952370962,-0.6847899415678554,182634.63703108823,0.7215480593054076,0.8494398503163173,0.8494448842775677,191214.40816221744,0.7554447905585108,0.3770072797724896,0.37695966128130043,0.6260553621132189,0.11452068933287649,14459.514315017268,0.5525436323519152,0.7433327870825523,0.743375398380537,14821.975194326918,0.5663944053776193
127,0.31272576762306403,0.22462929700335516,0.24487014631455575,-0.5541485108059077,-0.554160791128538,0.5203600355754993,-0.4062901916769215,148206.72599113654,0.5855311853945303,0.7652000950042611,0.7652046297428017,154824.3511442172,0.6116759225815033,0.31490198903890076,0.3148496235255658,0.5842054376092364,0.12916129990375574,15900.963486482366,0.6076259500356286,0.7795036562041442,0.7795483409848398,15453.60238118729,0.5905308716873893
129,0.2574499810633716,0.13531866676332582,0.25515788321489763,-0.9000723138395847,-0.9000873275277059,0.594734538680594,-0.6774331758773556,181194.71519136953,0.7158592544549692,0.8460846615173739,0.8460896755950618,189805.58185980943,0.7498788371286151,0.35966567546333084,0.35961673146543005,0.6135088144470611,0.12106966338341271,14862.008866899268,0.5679242182314673,0.7536074695963857,0.753650669887034,15045.719506503414,0.5749443810043721
